artifact_id,case_id,artifact_type,artifact_description,local_path,source_id,usable_for_analysis,notes
A029_001,29,version_history,Version histories,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/029_lab_manuscript_cowriting/C029_P1.html,C029_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A029_002,29,other,suggestion uptake,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/029_lab_manuscript_cowriting/C029_P1.html,C029_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A029_003,29,disclosure_form,authorship disclosures,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/029_lab_manuscript_cowriting/C029_P1.html,C029_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A029_004,29,other,reviewer vignette responses,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/029_lab_manuscript_cowriting/C029_P1.html,C029_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A030_001,30,disclosure_form,Disclosure forms,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/030_structured_ai_disclosure_daisy/C030_P1.html,C030_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A030_002,30,other,generated statements,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/030_structured_ai_disclosure_daisy/C030_P1.html,C030_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A030_003,30,other,completeness scores,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/030_structured_ai_disclosure_daisy/C030_P1.html,C030_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A030_004,30,other,participant preferences,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/030_structured_ai_disclosure_daisy/C030_P1.html,C030_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A031_001,31,other,Publication records,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/031_project_rachel_authorship_boundary/C031_P1.html,C031_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A031_002,31,citation_log,citation traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/031_project_rachel_authorship_boundary/C031_P1.html,C031_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A031_003,31,other,reviewer invitations,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/031_project_rachel_authorship_boundary/C031_P1.html,C031_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A031_004,31,other,policy responses,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/031_project_rachel_authorship_boundary/C031_P1.html,C031_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A032_001,32,other,Workflow traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/032_ai_scientist_boundary_cases/C032_P1.html,C032_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A032_002,32,other,automated reviews,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/032_ai_scientist_boundary_cases/C032_P1.html,C032_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A032_003,32,other,paper artifacts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/032_ai_scientist_boundary_cases/C032_P1.html,C032_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A032_004,32,other,acceptance outcomes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/032_ai_scientist_boundary_cases/C032_P1.html,C032_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A033_001,33,other,Browser traces,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/033_deep_research_policy_reconnaissance/C033_P1.html,C033_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A033_002,33,other,source lists,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/033_deep_research_policy_reconnaissance/C033_P1.html,C033_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A033_003,33,other,hallucination markers,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/033_deep_research_policy_reconnaissance/C033_P1.html,C033_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A033_004,33,memo_trail,final memos,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/033_deep_research_policy_reconnaissance/C033_P1.html,C033_P1,yes,"Artifact aligned to the best-matching collected supplement, materials page, or benchmark trace."
A034_001,34,other,Simulation logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/034_agentsociety_transportability_boundary/C034_P1.html,C034_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A034_002,34,other,parameter settings,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/034_agentsociety_transportability_boundary/C034_P1.html,C034_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A034_003,34,other,validation comparisons,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/034_agentsociety_transportability_boundary/C034_P1.html,C034_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A034_004,34,other,intervention outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/034_agentsociety_transportability_boundary/C034_P1.html,C034_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A035_001,35,other,Survey responses,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/035_doctoral_student_ai_use/C035_S1.html,C035_S1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A035_002,35,other,training logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/035_doctoral_student_ai_use/C035_S1.html,C035_S1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A035_003,35,repo,self-reported use by phase,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/035_doctoral_student_ai_use/C035_S1.html,C035_S1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A035_004,35,other,perceived benefits/risks,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/035_doctoral_student_ai_use/C035_S1.html,C035_S1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A036_001,36,other,Preregistration diffs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/036_predictive_design_course/C036_P1.html,C036_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A036_002,36,forecast_log,forecast logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/036_predictive_design_course/C036_P1.html,C036_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A036_003,36,other,audit trails,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/036_predictive_design_course/C036_P1.html,C036_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A036_004,36,other,grading rubrics,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/036_predictive_design_course/C036_P1.html,C036_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A036_005,36,other,reflections,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/036_predictive_design_course/C036_P1.html,C036_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
